nExp, Time,   ID,       F 0,       F 1,       F 2,       F 3,       F 4,       F 5,       F 6 
   0,    1,    0,     0.000,    -6.000,   -63.000,    63.285,     0.158,     0.025,     0.004,    -1
   0,    1,    1,     0.000,     1.000,   -25.000,    25.020,     0.400,     0.160,     0.064,    -1
   0,    2,    0,     0.000,    -6.000,   -56.000,    56.321,     0.178,     0.032,     0.006,    -1
   0,    2,    1,     0.000,     1.000,   -18.000,    18.028,     0.555,     0.308,     0.171,    -1
   0,    3,    0,     0.000,    -6.000,   -49.000,    49.366,     0.203,     0.041,     0.008,    -1
   0,    3,    1,     0.000,     1.000,   -11.000,    11.045,     0.905,     0.820,     0.742,    -1
   0,    4,    0,     0.000,    -6.000,   -42.000,    42.426,     0.236,     0.056,     0.013,    -1
   0,    4,    1,     0.000,     1.000,    -4.000,     4.123,     2.425,     5.882,    14.267,    -1
   0,    5,    0,     0.000,    -6.000,   -35.000,    35.511,     0.282,     0.079,     0.022,    -1
   0,    5,    1,     0.000,     1.000,     3.000,     3.162,     3.162,    10.000,    31.623,    -1
   0,    6,    0,     0.000,    -6.000,   -28.000,    28.636,     0.349,     0.122,     0.043,    -1
   0,    6,    1,     0.000,     1.000,    10.000,    10.050,     0.995,     0.990,     0.985,    -1
   0,    7,    0,     0.000,    -6.000,   -21.000,    21.840,     0.458,     0.210,     0.096,    -1
   0,    7,    1,     0.000,     1.000,    17.000,    17.029,     0.587,     0.345,     0.202,    -1
   0,    8,    0,     0.000,    -6.000,   -14.000,    15.232,     0.657,     0.431,     0.283,    -1
   0,    8,    1,     0.000,     1.000,    24.000,    24.021,     0.416,     0.173,     0.072,    -5
   0,    9,    0,     0.000,    -6.000,    -7.000,     9.220,     1.085,     1.176,     1.276,    -1
   0,    9,    1,     1.000,     0.000,    30.000,    30.000,     0.333,     0.111,     0.037,    -5
   0,   10,    0,     0.000,    -6.000,     0.000,     6.000,     1.667,     2.778,     4.630,    -1
   0,   10,    1,     1.000,     0.000,    36.000,    36.000,     0.278,     0.077,     0.021,    -5
   0,   11,    0,     0.000,    -6.000,     7.000,     9.220,     1.085,     1.176,     1.276,    -1
   0,   11,    1,     1.000,     0.000,    42.000,    42.000,     0.238,     0.057,     0.013,    -5
   1,    1,    0,     0.000,    -5.000,   -47.000,    47.265,     0.212,     0.045,     0.009,    -1
   1,    1,    1,     0.000,    -6.000,   -56.000,    56.321,     0.178,     0.032,     0.006,    -1
   1,    2,    0,     0.000,    -5.000,   -40.000,    40.311,     0.248,     0.062,     0.015,    -1
   1,    2,    1,     0.000,    -6.000,   -49.000,    49.366,     0.203,     0.041,     0.008,    -1
   1,    3,    0,     0.000,    -5.000,   -33.000,    33.377,     0.300,     0.090,     0.027,    -1
   1,    3,    1,     0.000,    -6.000,   -42.000,    42.426,     0.236,     0.056,     0.013,    -1
   1,    4,    0,     0.000,    -5.000,   -26.000,    26.476,     0.378,     0.143,     0.054,    -1
   1,    4,    1,     0.000,    -6.000,   -35.000,    35.511,     0.282,     0.079,     0.022,    -1
   1,    5,    0,     0.000,    -5.000,   -19.000,    19.647,     0.509,     0.259,     0.132,    -1
   1,    5,    1,     0.000,    -6.000,   -28.000,    28.636,     0.349,     0.122,     0.043,    -1
   1,    6,    0,     0.000,    -5.000,   -12.000,    13.000,     0.769,     0.592,     0.455,    -1
   1,    6,    1,     0.000,    -5.000,   -22.000,    22.561,     0.443,     0.196,     0.087,    -5
   1,    7,    0,     0.000,    -5.000,    -5.000,     7.071,     1.414,     2.000,     2.828,    -1
   1,    7,    1,     1.000,    -4.000,   -16.000,    16.492,     0.606,     0.368,     0.223,    -5
   1,    8,    0,     0.000,    -5.000,     2.000,     5.385,     1.857,     3.448,     6.403,    -1
   1,    8,    1,     1.000,    -3.000,   -10.000,    10.440,     0.958,     0.917,     0.879,    -5
   1,    9,    0,     0.000,    -5.000,     9.000,    10.296,     0.971,     0.943,     0.916,    -1
   1,    9,    1,     1.000,    -2.000,    -4.000,     4.472,     2.236,     5.000,    11.180,    -5
   1,   10,    0,     0.000,    -5.000,    16.000,    16.763,     0.597,     0.356,     0.212,    -1
   1,   10,    1,     1.000,    -1.000,     2.000,     2.236,     4.472,    20.000,    89.443,    -5
   1,   11,    0,     0.000,    -5.000,    23.000,    23.537,     0.425,     0.181,     0.077,    -5
   1,   11,    1,     1.000,     0.000,     8.000,     8.000,     1.250,     1.562,     1.953,    -5
   2,    1,    0,     0.000,     1.000,   -41.000,    41.012,     0.244,     0.059,     0.014,    -1
   2,    1,    1,     0.000,    -6.000,   -58.000,    58.310,     0.171,     0.029,     0.005,    -1
   2,    2,    0,     0.000,     1.000,   -34.000,    34.015,     0.294,     0.086,     0.025,    -5
   2,    2,    1,     0.000,    -6.000,   -51.000,    51.352,     0.195,     0.038,     0.007,    -1
   2,    3,    0,     1.000,     0.000,   -28.000,    28.000,     0.357,     0.128,     0.046,    -5
   2,    3,    1,     0.000,    -5.000,   -45.000,    45.277,     0.221,     0.049,     0.011,    -5
   2,    4,    0,     1.000,     0.000,   -22.000,    22.000,     0.455,     0.207,     0.094,    -5
   2,    4,    1,     1.000,    -4.000,   -39.000,    39.205,     0.255,     0.065,     0.017,    -5
   2,    5,    0,     1.000,     0.000,   -16.000,    16.000,     0.625,     0.391,     0.244,    -5
   2,    5,    1,     1.000,    -3.000,   -33.000,    33.136,     0.302,     0.091,     0.027,    -5
   2,    6,    0,     1.000,     0.000,   -10.000,    10.000,     1.000,     1.000,     1.000,    -5
