nExp, Time,   ID,       F 0,       F 1 
   0,    1,    0,     0.000,     0.158,    -1
   0,    1,    1,     0.000,     0.400,    -1
   0,    2,    0,     0.000,     0.175,    -5
   0,    2,    1,     0.000,     0.526,    -1
   0,    3,    0,     1.000,     0.195,    -5
   0,    3,    1,     0.000,     0.767,    -1
   0,    4,    0,     1.000,     0.222,    -5
   0,    4,    1,     0.000,     1.414,    -1
   0,    5,    0,     1.000,     0.256,    -5
   0,    5,    1,     0.000,     7.071,    -1
   0,    6,    0,     1.000,     0.303,    -5
   0,    6,    1,     0.000,     1.961,    -1
   0,    7,    0,     1.000,     0.370,    -5
   0,    7,    1,     0.000,     0.905,    -1
   0,    8,    0,     1.000,     0.476,    -5
   0,    8,    1,     0.000,     0.587,    -1
   0,    9,    0,     1.000,     0.665,    -5
   0,    9,    1,     0.000,     0.434,    -1
   0,   10,    0,     1.000,     1.104,    -5
   0,   10,    1,     0.000,     0.345,    -1
   1,    0,    0,     1.000,     3.162,    -5
   1,    0,    1,     0.000,     0.286,    -1
   1,    1,    0,     0.000,     0.212,    -1
   1,    1,    1,     0.000,     0.178,    -1
   1,    2,    0,     0.000,     0.242,    -1
   1,    2,    1,     0.000,     0.199,    -5
   1,    3,    0,     0.000,     0.283,    -1
   1,    3,    1,     1.000,     0.226,    -5
   1,    4,    0,     0.000,     0.340,    -1
   1,    4,    1,     1.000,     0.262,    -5
   1,    5,    0,     0.000,     0.425,    -1
   1,    5,    1,     1.000,     0.312,    -5
   1,    6,    0,     0.000,     0.564,    -1
   1,    6,    1,     1.000,     0.384,    -5
   1,    7,    0,     0.000,     0.828,    -1
   1,    7,    1,     1.000,     0.500,    -5
   1,    8,    0,     0.000,     1.414,    -1
   1,    8,    1,     1.000,     0.714,    -5
   1,    9,    0,     0.000,     1.961,    -1
   1,    9,    1,     1.000,     1.250,    -5
   1,   10,    0,     0.000,     1.162,    -1
   1,   10,    1,     1.000,     5.000,    -1
   2,    0,    0,     0.000,     0.718,    -1
   2,    0,    1,     0.000,     2.425,    -1
   2,    1,    0,     0.000,     0.244,    -1
   2,    1,    1,     0.000,     0.171,    -1
   2,    2,    0,     0.000,     0.286,    -1
   2,    2,    1,     0.000,     0.191,    -1
   2,    3,    0,     0.000,     0.345,    -1
   2,    3,    1,     0.000,     0.216,    -1
   2,    4,    0,     0.000,     0.434,    -1
   2,    4,    1,     0.000,     0.247,    -1
   2,    5,    0,     0.000,     0.587,    -1
   2,    5,    1,     0.000,     0.290,    -1
   2,    6,    0,     0.000,     0.905,    -1
   2,    6,    1,     0.000,     0.349,    -1
   2,    7,    0,     0.000,     1.961,    -1
   2,    7,    1,     0.000,     0.439,    -1
   2,    8,    0,     0.000,     7.071,    -1
   2,    8,    1,     0.000,     0.585,    -1
   2,    9,    0,     0.000,     1.414,    -1
   2,    9,    1,     0.000,     0.857,    -1
