nExp, Time,   ID,       F 0,       F 1,       F 2,       F 3,       F 4,       F 5,       F 6 
   0,    1,    0,     0.000,    -0.500,    -0.955,     1.078,     1.078,     1.161,     1.251,     0
   0,    2,    0,     0.000,    -0.500,    -0.879,     1.011,     1.011,     1.022,     1.034,     0
   0,    3,    0,     0.000,    -0.500,    -0.788,     0.933,     0.933,     0.871,     0.813,     0
   0,    4,    0,     0.000,    -0.417,    -0.697,     0.812,     0.812,     0.659,     0.535,    -5
   0,    5,    0,     1.000,    -0.333,    -0.606,     0.692,     0.692,     0.478,     0.331,    -5
   0,    6,    0,     1.000,    -0.250,    -0.515,     0.573,     0.573,     0.328,     0.188,    -5
   0,    7,    0,     1.000,    -0.167,    -0.424,     0.456,     0.456,     0.208,     0.095,    -5
   0,    8,    0,     1.000,    -0.083,    -0.333,     0.344,     0.344,     0.118,     0.041,    -5
   0,    9,    0,     1.000,     0.000,    -0.242,     0.242,     0.242,     0.059,     0.014,    -5
   0,   10,    0,     1.000,     0.000,    -0.152,     0.152,     0.152,     0.023,     0.003,    -5
   0,   11,    0,     1.000,     0.000,    -0.061,     0.061,     0.061,     0.004,     0.000,   995
   1,    0,    0,     1.000,     0.000,    -0.061,     0.061,     0.061,     0.004,     0.000,     0
   1,    1,    0,     0.000,     0.083,    -0.348,     0.358,     0.358,     0.128,     0.046,     0
   1,    2,    0,     0.000,     0.083,    -0.258,     0.271,     0.271,     0.073,     0.020,     0
   1,    3,    0,     0.000,     0.083,    -0.167,     0.186,     0.186,     0.035,     0.006,     0
   1,    4,    0,     0.000,     0.083,    -0.076,     0.113,     0.113,     0.013,     0.001,     0
   1,    5,    0,     0.000,     0.083,     0.015,     0.085,     0.085,     0.007,     0.001,     0
   1,    6,    0,     0.000,     0.083,     0.106,     0.135,     0.135,     0.018,     0.002,     0
   1,    7,    0,     0.000,     0.083,     0.197,     0.214,     0.214,     0.046,     0.010,     0
   1,    8,    0,     0.000,     0.083,     0.288,     0.300,     0.300,     0.090,     0.027,     0
   1,    9,    0,     0.000,     0.083,     0.379,     0.388,     0.388,     0.150,     0.058,     0
   1,   10,    0,     0.000,     0.083,     0.470,     0.477,     0.477,     0.228,     0.109,     0
   2,    0,    0,     0.000,     0.083,     0.561,     0.567,     0.567,     0.321,     0.182,     0
   2,    1,    0,     0.000,    -0.417,    -0.682,     0.799,     0.799,     0.638,     0.510,    -5
   2,    2,    0,     1.000,    -0.333,    -0.591,     0.678,     0.678,     0.460,     0.312,    -5
   2,    3,    0,     1.000,    -0.250,    -0.500,     0.559,     0.559,     0.313,     0.175,    -5
   2,    4,    0,     1.000,    -0.167,    -0.409,     0.442,     0.442,     0.195,     0.086,    -5
   2,    5,    0,     1.000,    -0.083,    -0.318,     0.329,     0.329,     0.108,     0.036,    -5
   2,    6,    0,     1.000,     0.000,    -0.227,     0.227,     0.227,     0.052,     0.012,    -5
   2,    7,    0,     1.000,     0.000,    -0.136,     0.136,     0.136,     0.019,     0.003,    -5
   2,    8,    0,     1.000,     0.000,    -0.045,     0.045,     0.045,     0.002,     0.000,   995
   3,    0,    0,     1.000,     0.000,    -0.045,     0.045,     0.045,     0.002,     0.000,     0
