nExp, Time,   ID,       F 0,       F 1,       F 2,       F 3,       F 4,       F 5,       F 6 
   0,    1,    0,     0.000,    -6.000,   -63.000,    63.285,     0.158,     0.025,     0.004,    -1
   0,    1,    1,     0.000,     1.000,   -25.000,    25.020,     0.400,     0.160,     0.064,    -1
   0,    2,    0,     0.000,    -6.000,   -58.000,    58.310,     0.171,     0.029,     0.005,    -1
   0,    2,    1,     0.000,     1.000,   -20.000,    20.025,     0.499,     0.249,     0.125,    -1
   0,    3,    0,     0.000,    -6.000,   -53.000,    53.339,     0.187,     0.035,     0.007,    -1
   0,    3,    1,     0.000,     1.000,   -15.000,    15.033,     0.665,     0.442,     0.294,    -1
   0,    4,    0,     0.000,    -6.000,   -47.000,    47.381,     0.211,     0.045,     0.009,    -1
   0,    4,    1,     0.000,     1.000,   -10.000,    10.050,     0.995,     0.990,     0.985,    -1
   0,    5,    0,     0.000,    -6.000,   -41.000,    41.437,     0.241,     0.058,     0.014,    -1
   0,    5,    1,     0.000,     1.000,    -5.000,     5.099,     1.961,     3.846,     7.543,    -1
   0,    6,    0,     0.000,    -6.000,   -35.000,    35.511,     0.282,     0.079,     0.022,    -1
   0,    6,    1,     0.000,     1.000,     0.000,     1.000,    10.000,   100.000,  1000.000,    -5
   0,    7,    0,     0.000,    -6.000,   -29.000,    29.614,     0.338,     0.114,     0.039,    -1
   0,    7,    1,     1.000,     0.000,     6.000,     6.000,     1.667,     2.778,     4.630,    -5
   0,    8,    0,     0.000,    -6.000,   -23.000,    23.770,     0.421,     0.177,     0.074,    -1
   0,    8,    1,     1.000,     0.000,    12.000,    12.000,     0.833,     0.694,     0.579,    -5
   0,    9,    0,     0.000,    -6.000,   -17.000,    18.028,     0.555,     0.308,     0.171,    -1
   0,    9,    1,     1.000,     0.000,    18.000,    18.000,     0.556,     0.309,     0.171,    -5
   0,   10,    0,     0.000,    -6.000,   -11.000,    12.530,     0.798,     0.637,     0.508,    -1
   0,   10,    1,     1.000,     0.000,    24.000,    24.000,     0.417,     0.174,     0.072,    -5
   1,    0,    0,     0.000,    -6.000,    -5.000,     7.810,     1.280,     1.639,     2.099,    -1
   1,    0,    1,     1.000,    -1.000,    30.000,    30.017,     0.333,     0.111,     0.037,    -5
   1,    1,    0,     0.000,    -5.000,   -47.000,    47.265,     0.212,     0.045,     0.009,    -5
   1,    1,    1,     0.000,    -6.000,   -56.000,    56.321,     0.178,     0.032,     0.006,    -1
   1,    2,    0,     1.000,    -4.000,   -41.000,    41.195,     0.243,     0.059,     0.014,    -5
   1,    2,    1,     0.000,    -5.000,   -50.000,    50.249,     0.199,     0.040,     0.008,    -5
   1,    3,    0,     1.000,    -3.000,   -35.000,    35.128,     0.285,     0.081,     0.023,    -5
   1,    3,    1,     1.000,    -4.000,   -44.000,    44.181,     0.226,     0.051,     0.012,    -5
   1,    4,    0,     1.000,    -2.000,   -29.000,    29.069,     0.344,     0.118,     0.041,    -5
   1,    4,    1,     1.000,    -3.000,   -38.000,    38.118,     0.262,     0.069,     0.018,    -5
   1,    5,    0,     1.000,    -1.000,   -23.000,    23.022,     0.434,     0.189,     0.082,    -5
   1,    5,    1,     1.000,    -2.000,   -32.000,    32.062,     0.312,     0.097,     0.030,    -5
   1,    6,    0,     1.000,     0.000,   -17.000,    17.000,     0.588,     0.346,     0.204,    -5
   1,    6,    1,     1.000,    -1.000,   -26.000,    26.019,     0.384,     0.148,     0.057,    -5
   1,    7,    0,     1.000,     0.000,   -11.000,    11.000,     0.909,     0.826,     0.751,    -5
   1,    7,    1,     1.000,     0.000,   -20.000,    20.000,     0.500,     0.250,     0.125,    -5
   1,    8,    0,     1.000,     0.000,    -5.000,     5.000,     2.000,     4.000,     8.000,   295
   1,    8,    1,     1.000,     0.000,   -14.000,    14.000,     0.714,     0.510,     0.364,    -5
   2,    0,    0,     1.000,     0.000,    -5.000,     5.000,     2.000,     4.000,     8.000,    -5
   2,    0,    1,     1.000,     0.000,   -14.000,    14.000,     0.714,     0.510,     0.364,    -5
   2,    1,    0,     0.000,     1.000,   -42.000,    42.012,     0.238,     0.057,     0.013,    -1
   2,    1,    1,     0.000,    -6.000,   -59.000,    59.304,     0.169,     0.028,     0.005,    -1
   2,    2,    0,     0.000,     1.000,   -36.000,    36.014,     0.278,     0.077,     0.021,    -1
   2,    2,    1,     0.000,    -6.000,   -53.000,    53.339,     0.187,     0.035,     0.007,    -1
   2,    3,    0,     0.000,     1.000,   -30.000,    30.017,     0.333,     0.111,     0.037,    -1
   2,    3,    1,     0.000,    -6.000,   -47.000,    47.381,     0.211,     0.045,     0.009,    -1
   2,    4,    0,     0.000,     1.000,   -24.000,    24.021,     0.416,     0.173,     0.072,    -1
   2,    4,    1,     0.000,    -6.000,   -41.000,    41.437,     0.241,     0.058,     0.014,    -1
   2,    5,    0,     0.000,     1.000,   -18.000,    18.028,     0.555,     0.308,     0.171,    -5
   2,    5,    1,     0.000,    -6.000,   -35.000,    35.511,     0.282,     0.079,     0.022,    -1
   2,    6,    0,     1.000,     0.000,   -12.000,    12.000,     0.833,     0.694,     0.579,    -5
   2,    6,    1,     0.000,    -6.000,   -29.000,    29.614,     0.338,     0.114,     0.039,    -1
   2,    7,    0,     1.000,     0.000,    -6.000,     6.000,     1.667,     2.778,     4.630,   295
   2,    7,    1,     0.000,    -6.000,   -23.000,    23.770,     0.421,     0.177,     0.074,    -1
   3,    0,    0,     1.000,     0.000,    -6.000,     6.000,     1.667,     2.778,     4.630,    -5
