nExp,  A0x,  A0y 
   0,   11,   63
   1,    1,   25
   2,   10,   48
   3,   11,   57
   4,    1,   43
   5,   11,   60
   6,    1,   52
   7,   10,   43
   8,   11,   65
   9,   11,   64
  10,    1,   51
  11,   11,   62
  12,    1,   17
  13,    1,   44
  14,   11,   65
  15,    1,   58
  16,    1,   55
  17,   10,   36
  18,   10,   47
  19,   11,   62
  20,    0,   41
  21,   11,   56
  22,    1,   59
  23,    0,   45
  24,    0,   64
  25,   11,   59
  26,    0,   33
  27,   10,   63
  28,    0,   44
  29,   10,   52
  30,   11,   60
  31,   11,   61
  32,   10,   49
  33,   10,   47
  34,   10,   44
  35,    0,   26
  36,   10,   55
  37,    1,   16
  38,   11,   64
  39,   11,   64
  40,   11,   65
  41,   10,   47
  42,   10,   44
  43,   11,   64
  44,   11,   61
  45,   11,   60
  46,    1,   47
  47,   11,   65
  48,   11,   54
  49,   10,   50
  50,   10,   61
  51,    0,   53
  52,    0,   28
  53,   11,   57
  54,   11,   55
  55,    0,   51
  56,    0,   45
  57,   11,   60
  58,   10,   36
  59,   10,   54
  60,   10,   47
  61,    1,   64
  62,    0,   19
  63,   11,   56
  64,    0,   28
  65,   11,   65
  66,    0,   38
  67,    0,   30
  68,    0,   49
  69,    1,   21
  70,   10,   37
  71,    0,   65
  72,    0,   35
  73,   10,   61
  74,   11,   56
  75,   10,   64
  76,    0,   50
  77,   11,   58
  78,    1,   44
  79,    1,   21
  80,    1,   34
  81,   10,   51
  82,    1,   31
  83,   11,   57
  84,   10,   36
  85,   10,   46
  86,    0,   31
  87,    0,   63
  88,    1,   27
  89,    1,   63
  90,   10,   54
  91,   10,   47
  92,    1,   47
  93,    0,   27
  94,    1,   24
  95,   10,   47
  96,   11,   60
  97,    1,   33
  98,   10,   48
  99,   10,   37
 100,    1,   25
 101,    0,   43
 102,    1,   42
 103,   11,   64
 104,    1,   28
 105,    1,   55
 106,   11,   63
 107,    0,   65
 108,   10,   38
 109,   10,   65
 110,    1,   48
 111,    1,   23
 112,   10,   36
 113,   11,   60
 114,    0,   23
 115,   10,   62
 116,    1,   64
 117,    0,   58
 118,    1,   16
 119,    1,   36
 120,   11,   64
 121,    0,   43
 122,   10,   46
 123,   11,   57
 124,    0,   19
 125,   10,   52
 126,   11,   65
 127,   11,   54
 128,   10,   57
 129,   10,   57
 130,   11,   61
 131,    1,   41
 132,    0,   46
 133,    0,   25
 134,    1,   54
 135,   10,   46
 136,   10,   37
 137,    0,   65
 138,    1,   33
