nExp, Time,  AVy,  A0x,  A0y 
   0,    0,    0,   11,   63
   0,    1,    0,   11,   62
   0,    2,    6,   11,   61
   0,    3,   12,   11,   60
   0,    4,   18,   11,   59
   0,    5,   24,   11,   58
   0,    6,   30,   11,   57
   0,    7,   36,   11,   56
   0,    8,   42,   11,   55
   0,    9,   48,   11,   54
   0,   10,   54,   11,   53
   0,   11,   60,   11,   52
   0,    1,    0,    1,   25
   1,    1,    1,    1,   24
   1,    2,    7,    1,   23
   1,    3,   13,    1,   22
   1,    4,   19,    1,   21
   1,    5,   25,    1,   20
   1,    6,   31,    1,   19
   1,    7,   37,    1,   18
   1,    8,   43,    1,   17
   1,    9,   49,    1,   16
   1,   10,   55,    2,   16
   1,   11,   61,    3,   16
   0,    2,    0,   10,   48
   2,    1,    2,   10,   47
   2,    2,    8,   10,   46
   2,    3,   14,    9,   46
   2,    4,   20,    8,   46
   2,    5,   26,    7,   46
   2,    6,   32,    6,   46
   2,    7,   38,    5,   46
   2,    8,   44,    4,   46
   0,    3,    0,   11,   57
   3,    1,    4,   11,   56
   3,    2,   10,   11,   55
   3,    3,   16,   11,   54
   3,    4,   22,   11,   53
   3,    5,   28,   11,   52
   3,    6,   34,   10,   52
   3,    7,   40,    9,   52
   3,    8,   46,    8,   52
   3,    9,   52,    7,   52
   3,   10,   58,    6,   52
   3,   11,   64,    5,   52
   0,    4,    0,    1,   43
   4,    1,    5,    1,   42
   4,    2,   11,    1,   41
   4,    3,   17,    1,   40
   4,    4,   23,    1,   39
   4,    5,   29,    2,   39
   4,    6,   35,    3,   39
   0,    5,    0,   11,   60
   5,    1,    2,   11,   59
   5,    2,    8,   11,   58
   5,    3,   14,   11,   57
   5,    4,   20,   11,   56
   5,    5,   26,   11,   55
   5,    6,   32,   11,   54
   5,    7,   38,   10,   54
   5,    8,   44,    9,   54
   5,    9,   50,    8,   54
   5,   10,   56,    7,   54
   5,   11,   62,    6,   54
   0,    6,    0,    1,   52
   6,    1,    3,    1,   51
   6,    2,    9,    1,   50
   6,    3,   15,    1,   49
   6,    4,   21,    1,   48
   6,    5,   27,    2,   48
   6,    6,   33,    3,   48
   6,    7,   39,    4,   48
   6,    8,   45,    5,   48
