simTime, rand 
      1,    4 
      1,    9 
      2,   10 
      2,    8 
      3,    6 
      3,    2 
      4,    5 
      4,    7 
      5,   11 
      5,   11 
      6,    6 
      6,   10 
      7,    3 
      7,    9 
      8,    7 
      8,    1 
      9,    8 
      9,    5 
     10,   10 
     10,    8 
     11,    1 
     11,    6 
      1,    2 
      1,   10 
      2,    9 
      2,    3 
      3,    6 
      3,    5 
      4,    8 
      4,    9 
      5,    2 
      5,    1 
      6,   10 
      6,    5 
      7,    9 
      7,    1 
      8,    5 
      8,    8 
      9,    3 
      9,   11 
     10,   10 
     10,    1 
     11,    1 
     11,    6 
      1,   11 
      1,   11 
      2,    1 
      2,    1 
      3,   10 
      3,    9 
      4,    8 
      4,    4 
      5,    7 
      5,    7 
      6,    7 
      6,    2 
      7,    5 
      7,    5 
      8,    8 
      8,   11 
      9,   11 
      9,    6 
     10,    5 
     10,    3 
      1,    3 
      1,    6 
      2,    5 
      2,    7 
      3,    7 
      3,    1 
      4,    1 
      4,   10 
      5,    3 
      5,    3 
      6,   11 
      6,    6 
      7,   10 
      7,    6 
      1,    3 
      1,    2 
      2,    5 
      2,    2 
      3,    1 
      3,    5 
      4,   11 
      4,    9 
      5,    9 
      5,    3 
      6,    6 
      6,    4 
      7,    2 
      7,    2 
      8,    3 
      8,   11 
      9,   10 
      9,    9 
     10,    9 
     10,    3 
