nExp, valid,  A 0
   0,     1,  965
   1,     0,   0
   2,     1,  965
   3,     1,  965
   4,     0,   0
   5,     0, -40
   6,     0,   0
   7,     1,  970
   8,     0, -40
   9,     0, -40
  10,     0,   0
  11,     0, -40
  12,     0,   0
  13,     0,   0
  14,     0, -40
  15,     0,   0
  16,     0,   0
  17,     1,  975
  18,     1,  970
  19,     0, -40
  20,     0, -40
  21,     1,  965
  22,     0,   0
  23,     0, -40
  24,     0, -40
  25,     0, -40
  26,     0, -40
  27,     0, -40
  28,     0, -40
  29,     0, -40
  30,     0, -40
  31,     0, -40
  32,     1,  965
  33,     1,  965
  34,     1,  970
  35,     0, -40
  36,     0, -40
  37,     0,   0
  38,     0, -40
  39,     0, -40
  40,     0, -40
  41,     1,  965
  42,     1,  970
  43,     0, -40
  44,     0, -40
  45,     0, -40
  46,     0,   0
  47,     0, -40
  48,     1,  965
  49,     0, -40
  50,     0, -40
  51,     0, -40
  52,     0, -40
  53,     1,  965
  54,     1,  965
  55,     0, -40
  56,     0, -40
  57,     0, -40
  58,     1,  975
  59,     0, -40
  60,     1,  965
  61,     0,   0
  62,     0, -40
  63,     0, -40
  64,     0, -40
  65,     0, -40
  66,     0, -40
  67,     0, -35
  68,     0, -40
  69,     0,   0
  70,     1,  975
  71,     0, -40
  72,     0, -40
  73,     0, -40
  74,     1,  965
  75,     0, -40
  76,     0, -40
  77,     1,  965
  78,     0,   0
  79,     0,   0
  80,     0,   0
  81,     1,  965
  82,     0,   0
  83,     0, -40
  84,     1,  975
  85,     1,  965
  86,     0, -40
  87,     0, -35
  88,     0,   0
  89,     0,   0
  90,     0, -40
  91,     1,  965
  92,     0,   0
  93,     0, -35
  94,     0,   0
  95,     1,  965
  96,     0, -40
  97,     0,   0
  98,     1,  965
  99,     1,  975
 100,     0,   0
 101,     0, -40
 102,     0,   0
 103,     0, -40
 104,     0,   0
 105,     0,   0
 106,     0, -40
 107,     0, -40
 108,     1,  975
 109,     0, -40
 110,     0,   0
 111,     0,   0
 112,     1,  975
 113,     0, -40
 114,     0, -40
 115,     0, -40
 116,     0,   0
 117,     0, -40
 118,     0,   0
 119,     0,   0
 120,     0, -40
 121,     0, -40
 122,     1,  965
 123,     1,  965
 124,     0, -40
 125,     0, -40
 126,     0, -40
 127,     1,  965
 128,     0, -40
 129,     0, -40
 130,     0, -40
 131,     0,   0
 132,     0, -40
 133,     0, -40
 134,     0,   0
 135,     1,  965
 136,     1,  975
 137,     0, -40
